side,entry_time,exit_time,duration_hours,entry_price,exit_price,price_move_pct,net_pnl,return_on_equity,r_multiple,exit_category,exit_reason,result,year,entry_hour
long,2020-01-07T00:00:00+00:00,2020-01-07T02:00:00+00:00,2.0,7760.451779999999,7904.088866,1.8508856194452206,20.437211780544665,0.020437211780544664,0.6812403926848222,correction_exit,correction depth 3.88 ATR >= 2.5,win,2020,0
short,2020-01-09T18:00:00+00:00,2020-01-09T19:00:00+00:00,1.0,7796.670354,7936.599145285714,-1.794724990699721,-32.356919552091476,-0.031708878487126516,-1.0569626162375505,risk_stop,risk_stop,loss,2020,18
long,2020-01-14T02:00:00+00:00,2020-01-14T17:00:00+00:00,15.0,8433.516366,8675.484556,2.869125753706987,20.310394191277233,0.020555408655576427,0.6851802885192143,correction_exit,correction depth 3.95 ATR >= 2.5,win,2020,2
short,2020-01-24T11:00:00+00:00,2020-01-24T12:00:00+00:00,1.0,8243.800910000002,8354.870104178572,-1.347305634756891,-32.54969496695777,-0.03227885323150372,-1.0759617743834575,risk_stop,risk_stop,loss,2020,11
long,2020-01-27T13:00:00+00:00,2020-01-28T17:00:00+00:00,28.0,8747.879226,8966.05643,2.4940582553031403,46.34562487620989,0.04749300888376634,1.5831002961255447,correction_exit,correction depth 3.98 ATR >= 2.5,win,2020,13
short,2020-02-02T04:00:00+00:00,2020-02-02T06:00:00+00:00,2.0,9264.936642,9350.745310821429,-0.9261657379548436,-34.06905273393606,-0.03332958208383664,-1.1109860694612215,risk_stop,risk_stop,loss,2020,4
short,2020-02-03T17:00:00+00:00,2020-02-03T19:00:00+00:00,2.0,9261.287371999999,9310.181664,-0.5279427150465585,-15.547470897141643,-0.015734434312224568,-0.5244811437408189,correction_exit,two opposing-body correction bars with depth 1.53 ATR,loss,2020,17
long,2020-02-05T12:00:00+00:00,2020-02-05T20:00:00+00:00,8.0,9421.053834,9653.998814,2.472600030787598,35.6968891175739,0.036703667309521,1.2234555769840334,correction_exit,correction depth 3.52 ATR >= 2.5,win,2020,12
long,2020-02-18T17:00:00+00:00,2020-02-18T23:00:00+00:00,6.0,9921.743952,10166.856222,2.4704555084853856,29.029084966087506,0.028791069716294714,0.9597023238764905,correction_exit,correction depth 2.54 ATR >= 2.5,win,2020,17
long,2020-03-05T11:00:00+00:00,2020-03-06T14:00:00+00:00,27.0,9088.177272,9059.157806,-0.3193100787042125,-5.810322244754617,-0.005601411622799639,-0.18671372075998796,correction_exit,two opposing-body correction bars with depth 1.98 ATR,loss,2020,11
